flip_y,arch,seed,sample_idx,p_truth,ambiguity,discordance,entropy
0.1,LR,0,0,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,1,0.9999901302775,1.9739445000110933e-05,0.9999901302775,0.00017835530749373303
0.1,LR,0,2,2.318004301705385e-73,0.0,2.318004301705385e-73,-1.4426951595367387e-09
0.1,LR,0,3,0.9999999700475001,5.990499984953601e-08,0.9999999700475001,7.889457852675386e-07
0.1,LR,0,4,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,5,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,6,0.9999999899024997,2.0195000560718768e-08,0.9999999899024997,2.7995328208173625e-07
0.1,LR,0,7,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,8,5.809743310275e-05,0.00011619486620551012,5.809743310275e-05,0.0009013101867803036
0.1,LR,0,9,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,10,8.948925461874999e-07,1.789785092354279e-06,0.9999991051074538,1.9268158008784482e-05
0.1,LR,0,11,1.0169041522995002e-22,0.0,1.0169041522995002e-22,-1.4426951595336984e-09
0.1,LR,0,12,2.463192751462425e-64,0.0,2.463192751462425e-64,-1.4426951595367387e-09
0.1,LR,0,13,1.1216100807207501e-33,0.0,1.1216100807207501e-33,-1.4426951595367387e-09
0.1,LR,0,14,0.999982162325,3.567534999993072e-05,0.999982162325,0.000307115412156547
0.1,LR,0,15,1.8839985378525e-18,0.0,1.0,-1.4426951032101695e-09
0.1,LR,0,16,7.332629386195002e-24,0.0,7.332629386195002e-24,-1.4426951595365195e-09
0.1,LR,0,17,0.9998199174775,0.0003601650450000271,0.9998199174775,0.002499834141747819
0.1,LR,0,18,4.432700561895e-22,0.0,4.432700561895e-22,-1.442695159523486e-09
0.1,LR,0,19,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,20,0.9999985032074998,2.9935850003326436e-06,0.9999985032074998,3.1119005953026806e-05
0.1,LR,0,21,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,22,5.773140289492501e-15,1.1546319456101628e-14,5.773140289492501e-15,-1.442514229063602e-09
0.1,LR,0,23,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,24,8.293779823265e-17,1.1102230246251565e-16,8.293779823265e-17,-1.4426923595734797e-09
0.1,LR,0,25,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,26,0.9999989443325,2.111334999943537e-06,0.9999989443325,2.2478723691021227e-05
0.1,LR,0,27,2.6557273898588503e-56,0.0,2.6557273898588503e-56,-1.4426951595367387e-09
0.1,LR,0,28,1.0,0.0,0.0,-1.4426951595367387e-09
