flip_y,arch,seed,sample_idx,p_truth,ambiguity,discordance,entropy,y_noisy,y_clean
0.0,LR,0,0,0.0006923560118825,0.0013847120237650001,0.0006923560118825,0.008265615840045945,0,0
0.0,LR,0,1,0.9999990222149999,1.955570000156115e-06,0.9999990222149999,2.0928239818272564e-05,0,0
0.0,LR,0,2,2.399526724577e-50,0.0,2.399526724577e-50,-1.4426951595367387e-09,0,0
0.0,LR,0,3,2.119305962232e-43,0.0,2.119305962232e-43,-1.4426951595367387e-09,0,0
0.0,LR,0,4,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,5,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,6,9.891276647325e-22,0.0,9.891276647325e-22,-1.4426951595071663e-09,0,0
0.0,LR,0,7,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,8,6.9777016357500005e-06,1.3955403271537214e-05,0.9999930222983643,0.00012958354716314862,1,1
0.0,LR,0,9,0.9974568644375,0.00508627112499993,0.002543135562499965,0.02558402967104139,1,1
0.0,LR,0,10,5.9415933241825004e-30,0.0,1.0,-1.4426951595367387e-09,1,1
0.0,LR,0,11,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,12,2.7089021093375e-09,5.417804205265497e-09,0.9999999972910979,7.833191410079476e-08,1,1
0.0,LR,0,13,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,14,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,15,0.99901108654,0.0019778269199999254,0.99901108654,0.011297195708426085,0,0
0.0,LR,0,16,1.1728327388532424e-80,0.0,1.1728327388532424e-80,-1.4426951595367387e-09,0,0
0.0,LR,0,17,2.8381705343161248e-59,0.0,1.0,-1.4426951595367387e-09,1,1
0.0,LR,0,18,1.0038631342370001e-44,0.0,1.0038631342370001e-44,-1.4426951595367387e-09,0,0
0.0,LR,0,19,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,20,7.7928313436825e-36,0.0,7.7928313436825e-36,-1.4426951595367387e-09,0,0
0.0,LR,0,21,0.9999999876549996,2.469000071059213e-08,0.9999999876549996,3.393017882280475e-07,0,0
0.0,LR,0,22,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,23,9.55560058612275e-52,0.0,9.55560058612275e-52,-1.4426951595367387e-09,0,0
0.0,LR,0,24,5.407702833675e-09,1.081540568215189e-08,5.407702833675e-09,1.5354336958114362e-07,0,0
0.0,LR,0,25,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,26,1.1222759844201251e-53,0.0,1.1222759844201251e-53,-1.4426951595367387e-09,0,0
0.0,LR,0,27,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,28,1.027054876395e-13,2.0539125955565396e-13,1.027054876395e-13,-1.439476233902981e-09,0,0
0.0,LR,0,29,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,30,0.9999997657024999,4.685950001359629e-07,2.3429750006798145e-07,5.495576261160799e-06,1,1
0.0,LR,0,31,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,32,9.99424070953775e-52,0.0,9.99424070953775e-52,-1.4426951595367387e-09,0,0
0.0,LR,0,33,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,34,5.7981144711e-10,1.1596228421950627e-09,5.7981144711e-10,1.6346091502620476e-08,0,0
0.0,LR,0,35,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,36,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,37,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,38,0.9987864674975001,0.0024270650049997844,0.9987864674975001,0.013504661103502656,0,0
0.0,LR,0,39,8.0068304699625e-23,0.0,8.0068304699625e-23,-1.4426951595343448e-09,0,0
0.0,LR,0,40,1.3058345043274748e-48,0.0,1.0,-1.4426951595367387e-09,1,1
0.0,LR,0,41,2.8763045657474996e-06,5.752609131493003e-06,2.8763045657474996e-06,5.709189017654408e-05,0,0
0.0,LR,0,42,0.9399579244675,0.12008415106499992,0.9399579244675,0.32761191777406584,0,0
0.0,LR,0,43,4.3394071073500004e-08,8.678814211737773e-08,4.3394071073500004e-08,1.1210644065938972e-06,0,0
0.0,LR,0,44,0.9999976225275,4.7549449999628735e-06,2.3774724999814367e-06,4.784335251183894e-05,1,1
0.0,LR,0,45,0.9999959935275,8.012944999968852e-06,4.006472499984426e-06,7.761021217832872e-05,1,1
0.0,LR,0,46,0.9999999969849999,6.030000276879832e-09,0.9999999969849999,8.700127234518698e-08,0,0
0.0,LR,0,47,0.00021904179222575,0.00043808358445152074,0.00021904179222575,0.002978755920120719,0,0
0.0,LR,0,48,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,49,3.2530357331400006e-17,1.1102230246251565e-16,3.2530357331400006e-17,-1.4426941869651686e-09,0,0
0.0,LR,0,50,5.6690140868000005e-06,1.1338028173546455e-05,0.9999943309859132,0.00010697799606057305,1,1
0.0,LR,0,51,0.0593301521755,0.11866030435099995,0.0593301521755,0.32478011183229616,0,0
0.0,LR,0,52,2.2499012159934998e-39,0.0,2.2499012159934998e-39,-1.4426951595367387e-09,0,0
0.0,LR,0,53,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,54,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,55,1.3616133026400001e-17,0.0,1.0,-1.4426947524504053e-09,1,1
0.0,LR,0,56,9.225718814e-15,1.84297022087776e-14,9.225718814e-15,-1.4424058806975019e-09,0,0
0.0,LR,0,57,5.5634162635675e-17,1.1102230246251565e-16,0.9999999999999999,-1.4426931758799019e-09,1,1
0.0,LR,0,58,2.5197457135149998e-17,0.0,1.0,-1.4426944061994727e-09,1,1
0.0,LR,0,59,0.5522324745525001,0.8955350508949997,0.5522324745525001,0.9921136046510796,0,0
0.0,LR,0,60,4.30352541128327e-80,0.0,4.30352541128327e-80,-1.4426951595367387e-09,0,0
0.0,LR,0,61,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,62,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,63,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,64,2.3392312579699997e-09,4.6784625062912255e-09,0.9999999976607687,6.779979442620951e-08,1,1
0.0,LR,0,65,1.0,0.0,1.0,-1.4426951595367387e-09,0,0
0.0,LR,0,66,0.983449873895,0.0331002522099999,0.983449873895,0.12160542849356874,0,0
0.0,LR,0,67,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,68,4.774179565455e-24,0.0,4.774179565455e-24,-1.442695159536596e-09,0,0
0.0,LR,0,69,2.681573378915e-24,0.0,1.0,-1.4426951595366584e-09,1,1
0.0,LR,0,70,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,71,0.9999999935049998,1.2990000408663605e-08,6.495000204331802e-09,1.8323691613622233e-07,1,1
0.0,LR,0,72,0.9999567623175001,8.647536499983843e-05,0.9999567623175001,0.0006892064277519211,0,0
0.0,LR,0,73,0.0020475556806549998,0.004095111361310022,0.0020475556806549998,0.02123949414574616,0,0
0.0,LR,0,74,0.6158982985475,0.768203402905,0.3841017014525,0.9608874833861447,1,1
0.0,LR,0,75,0.21871760369575,0.4374352073915,0.21871760369575,0.757818959369088,0,0
0.0,LR,0,76,0.8093215084625001,0.3813569830749999,0.8093215084625001,0.7028886529483439,0,0
0.0,LR,0,77,8.632420002501155e-95,0.0,8.632420002501155e-95,-1.4426951595367387e-09,0,0
0.0,LR,0,78,3.5625939164055e-38,0.0,3.5625939164055e-38,-1.4426951595367387e-09,0,0
0.0,LR,0,79,0.39351495884000004,0.7870299176800001,0.39351495884000004,0.9670304502329518,0,0
0.0,LR,0,80,3.206057956783375e-60,0.0,3.206057956783375e-60,-1.4426951595367387e-09,0,0
0.0,LR,0,81,2.223360825583675e-55,0.0,2.223360825583675e-55,-1.4426951595367387e-09,0,0
0.0,LR,0,82,1.6115938473325003e-29,0.0,1.6115938473325003e-29,-1.4426951595367387e-09,0,0
0.0,LR,0,83,0.06197170434074999,0.1239434086815,0.93802829565925,0.3352226253606271,1,1
0.0,LR,0,84,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,85,1.0781041872992001e-58,0.0,1.0781041872992001e-58,-1.4426951595367387e-09,0,0
0.0,LR,0,86,0.999999999975,5.000000413701855e-11,0.999999999975,-6.600844952278717e-10,0,0
0.0,LR,0,87,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
0.0,LR,0,88,1.0,0.0,0.0,-1.4426951595367387e-09,1,1
